property_id,property_name,host_id,neighbourhood_group,room_type,price,min_nights
2015,Berlin-Mitte Value! Quiet courtyard/very central,2217,Mitte,Entire home/apt,60,4
2695,Prenzlauer Berg close to Mauerpark,2986,Pankow,Private room,17,2
3176,Fabulous Flat in great Location,3718,Pankow,Entire home/apt,90,62
3309,BerlinSpot Schöneberg near KaDeWe,4108,Tempelhof - Schöneberg,Private room,26,5
7071,BrightRoom with sunny greenview!,17391,Pankow,Private room,42,2
9991,Geourgeous flat - outstanding views,33852,Pankow,Entire home/apt,180,6
14325,Apartment in Prenzlauer Berg,55531,Pankow,Entire home/apt,70,90
16401,APARTMENT TO RENT,59666,Friedrichshain-Kreuzberg,Private room,120,30
16644,In the Heart of Berlin - Kreuzberg,64696,Friedrichshain-Kreuzberg,Entire home/apt,90,60
17409,Downtown Above The Roofs In Berlin,67590,Pankow,Private room,45,3
17904,Beautiful Kreuzberg studio/WiFi (reg. pend.),68997,Neukölln,Entire home/apt,49,5
20858,Designer Loft in Berlin Mitte,71331,Pankow,Entire home/apt,129,3
21869,Studio in the Heart of Kreuzberg,64696,Friedrichshain-Kreuzberg,Entire home/apt,70,60
22415,Stylishly furnished 3 room flat,86068,Friedrichshain-Kreuzberg,Entire home/apt,98,3
22677,Prenzel garden with leafy terrace,87357,Mitte,Entire home/apt,160,3
23834,Apartment in the heart of Berlin,94918,Friedrichshain-Kreuzberg,Entire home/apt,65,60
24569,Sunny & Wheelchair accessible,99662,Pankow,Entire home/apt,90,3
25653,Sunny & stylish 150 sqm apartment,99662,Pankow,Entire home/apt,90,4
26543,Helmholtzplatz Bright&Spacious Apt.,112675,Pankow,Entire home/apt,197,3
28156,Beautiful apartment in Prenzlauer Berg,55531,Pankow,Entire home/apt,70,90
28268,Cozy Berlin Friedrichshain for1/6 p,121580,Friedrichshain-Kreuzberg,Entire home/apt,90,5
28711,Silent Studio-apt in Kreuzkölln,84157,Neukölln,Entire home/apt,60,2
29279,Quiet 2 rooms next Helmholtzplatz,54283,Pankow,Entire home/apt,130,60
30295,PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG,485838,Pankow,Entire home/apt,100,4
31440,"Nice Room in Prenzlauerberg,",135046,Pankow,Private room,44,1
33043,Central Bright Bellevue Free Parking WIFI 4G,143180,Mitte,Entire home/apt,62,3
35642,Cozy 2 Room Apartment in trendy Prenzlauer Berg,153252,Pankow,Entire home/apt,55,60
36480,ChimaysaberlinB&B Single Bedroom,156897,Charlottenburg-Wilm.,Private room,40,1
37004,WONDERFUL ROOM for longer stays Berlin Central,159734,Tempelhof - Schöneberg,Private room,25,5
37052,QUIET n SUNNY FLAT in MITTE/PBERG,149093,Mitte,Entire home/apt,52,2
37836,Weekend in Berlin Party Center - II,272316,Friedrichshain-Kreuzberg,Private room,39,1
38074,3 months min stay in the heart of Prenzlauer Berg!,163384,Pankow,Entire home/apt,80,84
38296,nice apartment to rent in Neukölln in September!,164310,Neukölln,Entire home/apt,80,10
40600,room-artist loft berlin kreuzberg ,174970,Friedrichshain-Kreuzberg,Private room,50,3
41217,Beautiful room in Prenzlauer Berg,179110,Pankow,Private room,43,2
41306,"Schöner Altbau, 6 min zum Alexanderpatz.",179872,Pankow,Private room,40,1
42742,Spacious 35m2 in Central Apartment,272316,Friedrichshain-Kreuzberg,Private room,36,1
42809,The Berlin Artist Apartment.,186851,Friedrichshain-Kreuzberg,Entire home/apt,119,4
43123,Lux Berlin 1: boutique & design,188116,Pankow,Entire home/apt,90,5
44083,Riverside View Apartment,193038,Treptow - Köpenick,Private room,42,3
44423,Lovely accommodation in Berlin,194957,Friedrichshain-Kreuzberg,Private room,56,2
46161,Design-Room in Mitte/PrenzlauerBerg,201936,Pankow,Private room,50,4
46172,Chic Loft By Kastanienallee,206338,Mitte,Entire home/apt,48,60
47938,Lovely 2 BR flat in Prenzlauer Berg,218479,Pankow,Entire home/apt,160,3
48955,Cozy studio in the heart of Berlin,211722,Pankow,Entire home/apt,70,4
52734,"LUMINOUS, LOFT LIKE APT IN F'HAIN",112446,Friedrichshain-Kreuzberg,Entire home/apt,88,5
54952,Riverfront Panorama,258697,Mitte,Private room,55,4
55298,Couch in Livingroom available,261030,Tempelhof - Schöneberg,Shared room,88,2
55455,Panorama Apartment Berlin Centre,261953,Mitte,Entire home/apt,90,2
55853,Hauptstadt-Domizil,264072,Charlottenburg-Wilm.,Entire home/apt,55,60
57049,130 sqm with a view on Mauer Park,54283,Pankow,Entire home/apt,200,3
57209,Top apartment in Mitte-Arkonaplatz,272286,Mitte,Entire home/apt,80,3
57792,Bungalow mit Garten in Berlin Zehlendorf,275784,Steglitz - Zehlendorf,Entire home/apt,49,2
58041,Apt. in a historic ambience+Wifi from 18.11.2018,145808,Mitte,Entire home/apt,55,90
58780,light quiet beautiful 4 room flat,281614,Pankow,Entire home/apt,130,5
59249,Lux Berlin 2: luxury & design ,188116,Pankow,Entire home/apt,90,5
60161,House at the water,898681,Treptow - Köpenick,Entire home/apt,120,2
63052,"Beautiful, quiet, clean & central.",307513,Neukölln,Private room,37,6
63468,Ferienwohnung Kreuzberg,309364,Friedrichshain-Kreuzberg,Entire home/apt,52,2
64245,Room in great area Prenzlauer Berg,312373,Pankow,Private room,44,3
64590,Great apt. directly on the canal!,315681,Friedrichshain-Kreuzberg,Entire home/apt,102,2
68142,Cute sunny room in Friedrichshain,337021,Friedrichshain-Kreuzberg,Private room,29,2
68448,Spacious & quiet apt near Mauerpark,163384,Pankow,Entire home/apt,84,3
72079,"Italian Design at Kudamm ,WiFi DSL free",261488,Charlottenburg-Wilm.,Entire home/apt,80,3
73302,Penthouse-Loft  Berlin-Schöneberg,382638,Tempelhof - Schöneberg,Entire home/apt,69,3
74614,City apartment in Prenzlauer Berg,393047,Pankow,Entire home/apt,185,4
80843,Berlin City Studio Apt.,437628,Charlottenburg-Wilm.,Entire home/apt,49,2
81049,Lux.2BR Apart.BerlinMitte Lic. 01/Z/ZA/ (Phone number hidden by Airbnb),249501,Mitte,Entire home/apt,155,4
81081,Beautiful Prenzlauer Berg Apt,425899,Pankow,Entire home/apt,66,3
82893,Apartment 2 Mitte,451311,Mitte,Entire home/apt,70,3
83183,Garden Apartment-Prenzlauer Berg,453109,Pankow,Entire home/apt,53,2
